ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Harris,6/14/2024 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,2179
Buttigieg,6/14/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,6/14/2024 12:00:00 AM,$0.09,$0.10,$0.08,$0.08,1291
Ramaswamy,6/14/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,6/14/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2
RFK Jr.,6/14/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,3085
Haley,6/14/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,118
DeSantis,6/15/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,6
Trump,6/15/2024 12:00:00 AM,$0.52,$0.53,$0.51,$0.52,4817
Biden,6/15/2024 12:00:00 AM,$0.44,$0.44,$0.43,$0.44,2592
Harris,6/15/2024 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,869
Buttigieg,6/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,6/15/2024 12:00:00 AM,$0.08,$0.09,$0.08,$0.08,2873
Ramaswamy,6/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,6/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,6/15/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,10856
Haley,6/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,6
DeSantis,6/16/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,377
Trump,6/16/2024 12:00:00 AM,$0.52,$0.53,$0.52,$0.53,2501
Biden,6/16/2024 12:00:00 AM,$0.44,$0.45,$0.43,$0.44,7263
Harris,6/16/2024 12:00:00 AM,$0.04,$0.05,$0.03,$0.03,129
Buttigieg,6/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,6/16/2024 12:00:00 AM,$0.08,$0.09,$0.07,$0.07,3008
Ramaswamy,6/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,6/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,6/16/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,914
Haley,6/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,10
DeSantis,6/17/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,922
Trump,6/17/2024 12:00:00 AM,$0.53,$0.54,$0.52,$0.53,12129
Biden,6/17/2024 12:00:00 AM,$0.44,$0.44,$0.43,$0.43,6546
Harris,6/17/2024 12:00:00 AM,$0.03,$0.05,$0.03,$0.04,545
Buttigieg,6/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1000
Newsom,6/17/2024 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,3200
Ramaswamy,6/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,6/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
RFK Jr.,6/17/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,10208
Haley,6/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2
DeSantis,6/18/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,3020
Trump,6/18/2024 12:00:00 AM,$0.53,$0.54,$0.52,$0.53,10420
Biden,6/18/2024 12:00:00 AM,$0.43,$0.44,$0.43,$0.44,6223
Harris,6/18/2024 12:00:00 AM,$0.04,$0.05,$0.03,$0.03,17990
Buttigieg,6/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,6/18/2024 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,11589
Ramaswamy,6/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,200
Scott,6/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,6/18/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,3625
Haley,6/18/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,2871
DeSantis,6/19/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,392
Trump,6/19/2024 12:00:00 AM,$0.53,$0.54,$0.52,$0.54,12603
Biden,6/19/2024 12:00:00 AM,$0.44,$0.44,$0.42,$0.43,14591
Harris,6/19/2024 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,6583
Buttigieg,6/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,6/19/2024 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,12136
Ramaswamy,6/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,6/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,6/19/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,2675
Haley,6/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1294
DeSantis,6/20/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,2723
Trump,6/20/2024 12:00:00 AM,$0.54,$0.54,$0.52,$0.54,17809
Biden,6/20/2024 12:00:00 AM,$0.43,$0.45,$0.42,$0.44,14562
Harris,6/20/2024 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,2898
Buttigieg,6/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,6/20/2024 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,3345
Ramaswamy,6/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,6/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,6/20/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,4846
Haley,6/20/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,2706
DeSantis,6/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,601
Trump,6/21/2024 12:00:00 AM,$0.54,$0.54,$0.51,$0.51,10861
Biden,6/21/2024 12:00:00 AM,$0.44,$0.47,$0.44,$0.46,11333
Harris,6/21/2024 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,3015
Buttigieg,6/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,6/21/2024 12:00:00 AM,$0.07,$0.09,$0.07,$0.08,4216
Ramaswamy,6/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,6/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,100
RFK Jr.,6/21/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,7967
Haley,6/21/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,1610
DeSantis,6/22/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,217
Trump,6/22/2024 12:00:00 AM,$0.51,$0.53,$0.51,$0.51,5252
Biden,6/22/2024 12:00:00 AM,$0.46,$0.47,$0.45,$0.45,4903
Harris,6/22/2024 12:00:00 AM,$0.04,$0.04,$0.03,$0.04,88
Buttigieg,6/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,6/22/2024 12:00:00 AM,$0.08,$0.09,$0.08,$0.08,530
Ramaswamy,6/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,6/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,6/22/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,1615
Haley,6/22/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,997
DeSantis,6/23/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,3046
Trump,6/23/2024 12:00:00 AM,$0.51,$0.53,$0.51,$0.51,9732
Biden,6/23/2024 12:00:00 AM,$0.45,$0.48,$0.45,$0.48,23891
Harris,6/23/2024 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,2967
Buttigieg,6/23/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,6/23/2024 12:00:00 AM,$0.08,$0.09,$0.07,$0.08,3810
Ramaswamy,6/23/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,6/23/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,6/23/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,36516
Haley,6/23/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,3753
DeSantis,6/24/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,6505
Trump,6/24/2024 12:00:00 AM,$0.51,$0.53,$0.51,$0.52,9629
Biden,6/24/2024 12:00:00 AM,$0.48,$0.48,$0.46,$0.48,12555
Harris,6/24/2024 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,6207
Buttigieg,6/24/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,6/24/2024 12:00:00 AM,$0.08,$0.09,$0.07,$0.08,4282
Ramaswamy,6/24/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,100
Scott,6/24/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,6/24/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,7600
Haley,6/24/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,3888
DeSantis,6/25/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,4575
Trump,6/25/2024 12:00:00 AM,$0.52,$0.53,$0.51,$0.52,12834
Biden,6/25/2024 12:00:00 AM,$0.48,$0.48,$0.46,$0.47,10149
Harris,6/25/2024 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,4447
Buttigieg,6/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,6/25/2024 12:00:00 AM,$0.08,$0.09,$0.07,$0.08,8310
Ramaswamy,6/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,6/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,6/25/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,6135
Haley,6/25/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,3853
DeSantis,6/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3477
Trump,6/26/2024 12:00:00 AM,$0.52,$0.55,$0.52,$0.55,23032
Biden,6/26/2024 12:00:00 AM,$0.47,$0.48,$0.45,$0.45,24514
Harris,6/26/2024 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,3341
Buttigieg,6/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,6/26/2024 12:00:00 AM,$0.08,$0.08,$0.05,$0.05,21968
Ramaswamy,6/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,6/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,6/26/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,4942
Haley,6/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,4670
DeSantis,6/27/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,69831
Trump,6/27/2024 12:00:00 AM,$0.55,$0.65,$0.52,$0.58,164017
Biden,6/27/2024 12:00:00 AM,$0.45,$0.48,$0.29,$0.33,223147
Harris,6/27/2024 12:00:00 AM,$0.04,$0.11,$0.03,$0.07,154653
Buttigieg,6/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,123655
Newsom,6/27/2024 12:00:00 AM,$0.05,$0.20,$0.05,$0.17,112500
Ramaswamy,6/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3
Scott,6/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,6/27/2024 12:00:00 AM,$0.05,$0.05,$0.03,$0.04,90314
Haley,6/27/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,37169
DeSantis,6/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,4914
Trump,6/28/2024 12:00:00 AM,$0.58,$0.60,$0.56,$0.58,95413
Biden,6/28/2024 12:00:00 AM,$0.33,$0.40,$0.25,$0.36,204380
Harris,6/28/2024 12:00:00 AM,$0.07,$0.09,$0.05,$0.05,98977
Buttigieg,6/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,69571
Newsom,6/28/2024 12:00:00 AM,$0.17,$0.19,$0.10,$0.11,93560
Ramaswamy,6/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,912
Scott,6/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,6/28/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,48653
Haley,6/28/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,23505
DeSantis,6/29/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1025
Trump,6/29/2024 12:00:00 AM,$0.58,$0.59,$0.57,$0.58,41426
Biden,6/29/2024 12:00:00 AM,$0.36,$0.38,$0.24,$0.29,104539
Harris,6/29/2024 12:00:00 AM,$0.05,$0.16,$0.05,$0.14,77378
Buttigieg,6/29/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,27429
Newsom,6/29/2024 12:00:00 AM,$0.11,$0.15,$0.10,$0.11,43217
Ramaswamy,6/29/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
Scott,6/29/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,6/29/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,30347
Haley,6/29/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,31137
DeSantis,6/30/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1070
Trump,6/30/2024 12:00:00 AM,$0.58,$0.58,$0.54,$0.56,48983
Biden,6/30/2024 12:00:00 AM,$0.29,$0.34,$0.27,$0.31,70882
Harris,6/30/2024 12:00:00 AM,$0.14,$0.15,$0.07,$0.07,43532
Buttigieg,6/30/2024 12:00:00 AM,$0.01,$0.03,$0.01,$0.01,48808
Newsom,6/30/2024 12:00:00 AM,$0.11,$0.14,$0.08,$0.10,37679
Ramaswamy,6/30/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,963
Scott,6/30/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,6/30/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,27494
Haley,6/30/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,8805
